name,time,M1_CURRENT_FEEDRATE,S1.ActualAcceleration,S1.ActualPosition,S1.ActualVelocity,S1.CommandAcceleration,S1.CommandPosition,S1.CommandVelocity,S1.CurrentCommand,S1.CurrentFeedback,S1.CurrentReference,S1.DCBusVoltage,S1.LoadObserverTorqueEstimate,S1.OutputCurrent,S1.OutputPower,S1.OutputVoltage,S1.SystemInertia,S1.TorqueLowPassFilterBandwidthEstimate,S1.TorqueReference,X1.ActualAcceleration,X1.ActualPosition,X1.ActualVelocity,X1.CommandAcceleration,X1.CommandPosition,X1.CommandVelocity,X1.CurrentCommand,X1.CurrentFeedback,X1.CurrentReference,X1.DCBusVoltage,X1.LoadObserverTorqueEstimate,X1.OutputCurrent,X1.OutputPower,X1.OutputVoltage,X1.TorqueLowPassFilterBandwidthEstimate,X1.TorqueReference,Y1.ActualAcceleration,Y1.ActualPosition,Y1.ActualVelocity,Y1.CommandAcceleration,Y1.CommandPosition,Y1.CommandVelocity,Y1.CurrentCommand,Y1.CurrentFeedback,Y1.CurrentReference,Y1.DCBusVoltage,Y1.LoadObserverTorqueEstimate,Y1.OutputCurrent,Y1.OutputPower,Y1.OutputVoltage,Y1.TorqueLowPassFilterBandwidthEstimate,Y1.TorqueReference,Z1.ActualAcceleration,Z1.ActualPosition,Z1.ActualVelocity,Z1.CommandAcceleration,Z1.CommandPosition,Z1.CommandVelocity,Z1.CurrentCommand,Z1.CurrentFeedback,Z1.CurrentReference,Z1.DCBusVoltage,Z1.LoadObserverTorqueEstimate,Z1.OutputCurrent,Z1.OutputPower,Z1.OutputVoltage,Z1.TorqueLowPassFilterBandwidthEstimate,Z1.TorqueReference
Timestamp,2017-07-25T20:28:50.928Z,50,0,2055.765,0.0009999999,0,2055.765,0,0,-0.9398046,0,326.6313,0,2.7529e-19,0,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-0.4558389,0,326.6087,0,2.767646e-19,4.16068e-06,0,0,0,0,157.9702,0,0,157.9702,0,0,-2.172436,0,325.2896,0,2.784283e-19,-1.550054e-06,0,0,0,0,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:51.027Z,50,1.1875,2055.765,0.00125,0,2055.765,0,0,-1.169942,0,326.5741,0,2.7529e-19,0,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-2.225766,0,326.6915,0,2.767646e-19,0,0,0,0,0,157.9702,0,0,157.9702,0,0,-0.2890619,0,325.2944,0,2.784283e-19,-9.352781e-07,0,0,0,0,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:51.527Z,50,-0.4375,2055.765,-0.00175,0,2055.765,0,0,-1.43971,0,326.5802,0,2.7529e-19,0,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,0.8307483,0,326.7406,0,2.767646e-19,-1.286049e-06,0,0,0,0,157.9702,0,0,157.9702,0,0,-0.5027013,0,325.2753,0,2.784283e-19,-1.578992e-06,0,0,0,-6.25,118.9439,-0.025,0,118.9439,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:51.628Z,50,0,2055.765,-0.0009999999,0,2055.765,0,0,-0.9198914,0,326.6206,0,2.7529e-19,-3.993845e-06,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-1.586555,0,326.7549,0,2.767646e-19,0,0,0,0,0,157.9702,0,0,157.9702,0,0,-0.573806,0,325.2992,0,2.784283e-19,4.470369e-06,0,0,0,0,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:51.826Z,50,0.25,2055.765,0,0,2055.765,0,0,-0.669903,0,326.3943,0,2.7529e-19,0,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-1.586608,0,326.6676,0,2.767646e-19,0,0,0,0,0,157.9702,0,0,157.9702,0,0,-0.7163979,0,325.2698,0,2.784283e-19,0,0,0,0,-6.25,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:51.93Z,50,-0.25,2055.765,-0.0009999999,0,2055.765,0,0,-0.1699265,0,326.4616,0,2.7529e-19,2.597455e-06,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-0.9392768,0,326.6403,0,2.767646e-19,1.953879e-06,0,0,0,0,157.9702,0,0,157.9702,0,0,-1.255847,0,325.1217,0,2.784283e-19,5.646194e-06,0,0,0,0,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:52.028Z,50,0.4999999,2055.765,0.0009999999,0,2055.765,0,0,-1.439819,0,326.6447,0,2.7529e-19,4.070426e-06,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,0.3308101,0,326.7307,0,2.767646e-19,0,0,0,0,0,157.9702,0,0,157.9702,0,0,0.3218268,0,325.2506,0,2.784283e-19,1.433225e-06,0,0,0,12.5,118.944,0.025,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:52.328Z,50,0.25,2055.765,0,0,2055.765,0,0,-0.1500445,0,326.5631,0,2.7529e-19,-3.643348e-06,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-0.7753734,0,326.5926,0,2.767646e-19,0,0,0,0,0,157.9702,0,0,157.9702,0,0,-0.03425739,0,325.4616,0,2.784283e-19,0,0,0,0,0,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:52.53Z,50,0.6249999,2055.765,0.00175,0,2055.765,0,0,-0.9199351,0,326.4848,0,2.7529e-19,-7.271389e-06,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-1.430908,0,326.436,0,2.767646e-19,3.026674e-06,0,0,0,0,157.9702,0,0,157.9702,0,0,0.1794229,0,325.0941,0,2.784283e-19,0,0,0,0,12.5,118.944,0.025,0,118.944,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:28:52.628Z,50,-0.4999999,2055.765,-0.0009999999,0,2055.765,0,0,-0.9397952,0,326.5213,0,2.7529e-19,0,0,0.4636263,0,0,0,198.0013,0,0,198.0013,0,0,-0.9392735,0,326.5364,0,2.767646e-19,1.70787e-06,0,0,0,0,157.9702,0,0,157.9702,0,0,-0.8793142,0,325.1047,0,2.784283e-19,-1.637901e-06,0,0,0,0,118.944,0,0,118.944,0,0,0,0,0,0,0,0,0,0,0
