[2016-12-14T14:08:05.94Z, 0.0]
[2016-12-14T14:08:06.937Z, 0.0]
[2016-12-14T14:08:07.936Z, 0.0]
[2016-12-14T14:08:08.929Z, 0.0]
[2016-12-14T14:08:09.943Z, 0.0]
[2016-12-14T14:08:10.931Z, 0.0]
[2016-12-14T14:08:11.931Z, 0.0]
[2016-12-14T14:08:12.931Z, 0.0]
[2016-12-14T14:08:13.932Z, 0.0]
[2016-12-14T14:08:14.931Z, 0.0]
[2016-12-14T14:10:28.927Z, 0.0]
[2016-12-14T14:10:29.91Z, 0.0]
[2016-12-14T14:10:30.907Z, 0.0]
[2016-12-14T14:10:31.907Z, 0.0]
[2016-12-14T14:10:32.908Z, 0.0]
[2016-12-14T14:10:33.908Z, 0.0]
[2016-12-14T14:10:34.909Z, 0.0]
[2016-12-14T14:10:35.91Z, 0.0]
[2016-12-14T14:15:13.325Z, 0.0]
[2016-12-14T14:15:14.25Z, 0.0]
[2016-12-14T14:15:15.251Z, 0.0]
[2016-12-14T14:15:16.251Z, 0.0]
[2016-12-14T14:15:17.251Z, 0.0]
[2016-12-14T14:15:18.252Z, 0.0]
[2016-12-14T14:15:19.252Z, 0.0]
[2016-12-14T14:17:54.642Z, 0.0]
[2016-12-14T14:17:55.521Z, 0.0]
[2016-12-14T14:17:56.521Z, 0.0]
[2016-12-14T14:17:57.522Z, 0.0]
[2016-12-14T14:17:58.522Z, 0.0]
[2016-12-14T14:17:59.523Z, 0.0]
[2016-12-14T14:18:00.522Z, 0.0]
[2016-12-14T14:18:01.523Z, 0.0]
[2016-12-14T14:18:02.523Z, 0.0]
[2016-12-14T14:18:03.524Z, 0.0]
[2016-12-14T14:18:04.525Z, 0.0]
[2016-12-14T14:18:05.525Z, 0.0]
[2016-12-14T14:18:06.521Z, 0.0]
[2016-12-14T14:18:07.521Z, 0.0]
[2016-12-14T14:18:08.522Z, 0.0]
[2016-12-14T14:18:09.523Z, 0.0]
[2016-12-14T14:18:10.524Z, 0.0]
[2016-12-14T14:18:11.524Z, 0.0]
[2016-12-14T14:18:12.525Z, 0.0]
[2016-12-14T14:18:13.521Z, 0.0]
[2016-12-14T14:18:14.522Z, 0.0]
[2016-12-14T14:18:15.523Z, 0.0]
[2016-12-14T14:18:16.524Z, 0.0]
[2016-12-14T14:18:17.521Z, 0.0]
[2016-12-14T14:18:18.522Z, 0.0]
[2016-12-14T14:18:19.522Z, 0.0]
[2016-12-14T14:18:20.522Z, 0.0]
[2016-12-14T14:18:21.522Z, 0.0]
[2016-12-14T14:18:22.525Z, 0.0]
[2016-12-14T14:18:23.529Z, 0.0]
[2016-12-14T14:22:45.516Z, 0.0]
[2016-12-14T14:22:46.396Z, 0.0]
[2016-12-14T14:22:47.399Z, 0.0]
[2016-12-14T14:22:48.395Z, 0.0]
[2016-12-14T14:22:49.397Z, 0.0]
[2016-12-14T14:22:50.398Z, 0.0]
[2016-12-14T14:22:51.395Z, 0.0]
[2016-12-14T14:22:52.396Z, 0.0]
[2016-12-14T14:22:53.397Z, 0.0]
[2016-12-14T14:22:54.394Z, 0.0]
[2016-12-14T14:22:55.396Z, 0.0]
[2016-12-14T14:22:56.397Z, 0.0]
[2016-12-14T14:22:57.4Z, 0.0]
[2016-12-14T14:22:58.402Z, 0.0]
[2016-12-14T14:22:59.396Z, 0.0]
[2016-12-14T14:23:00.397Z, 0.0]
[2016-12-14T14:23:01.398Z, 0.0]
[2016-12-14T14:23:02.395Z, 0.0]
[2016-12-14T14:23:03.395Z, 0.0]
[2016-12-14T14:23:04.397Z, 0.0]
[2016-12-14T14:23:05.397Z, 0.0]
[2016-12-14T14:23:06.399Z, 0.0]
[2016-12-14T14:23:07.403Z, 0.0]
[2016-12-14T14:23:08.397Z, 0.0]
[2016-12-14T14:23:09.399Z, 0.0]
[2016-12-14T14:23:10.402Z, 0.0]
[2016-12-14T14:23:11.395Z, 0.0]
[2016-12-14T14:23:12.396Z, 0.0]
[2016-12-14T14:23:13.397Z, 0.0]
[2016-12-14T14:23:14.398Z, 0.0]
[2016-12-14T14:23:15.4Z, 0.0]
[2016-12-14T14:23:16.403Z, 0.0]
[2016-12-14T14:23:17.398Z, 0.0]
[2016-12-14T14:23:18.4Z, 0.0]
[2016-12-14T14:23:19.403Z, 0.0]
[2016-12-14T14:23:20.397Z, 0.0]
[2016-12-14T14:23:21.397Z, 0.0]
[2016-12-14T14:23:22.398Z, 0.0]
[2016-12-14T14:23:23.398Z, 0.0]
[2016-12-14T14:23:24.4Z, 1018.0]
[2016-12-14T14:23:25.404Z, 1059.0]
[2016-12-14T14:23:26.397Z, 1067.0]
[2016-12-14T14:23:27.4Z, 1067.0]
[2016-12-14T14:23:28.404Z, 1064.0]
[2016-12-14T14:23:29.398Z, 1066.0]
[2016-12-14T14:23:30.398Z, 1063.0]
[2016-12-14T14:23:31.399Z, 1063.0]
[2016-12-14T14:23:32.403Z, 1063.0]
[2016-12-14T14:23:33.403Z, 1060.0]
[2016-12-14T14:23:34.404Z, 1059.0]
[2016-12-14T14:23:35.404Z, 1061.0]
[2016-12-14T14:23:36.398Z, 1060.0]
[2016-12-14T14:23:37.4Z, 1059.0]
[2016-12-14T14:23:38.401Z, 1060.0]
[2016-12-14T14:23:39.403Z, 1061.0]
[2016-12-14T14:23:40.405Z, 1063.0]
[2016-12-14T14:23:41.404Z, 1063.0]
[2016-12-14T14:23:42.399Z, 1061.0]
[2016-12-14T14:23:43.399Z, 1057.0]
[2016-12-14T14:23:44.4Z, 1060.0]
[2016-12-14T14:23:45.404Z, 1058.0]
[2016-12-14T14:23:46.404Z, 1062.0]
[2016-12-14T14:23:47.4Z, 1065.0]
[2016-12-14T14:23:48.4Z, 1064.0]
[2016-12-14T14:23:49.401Z, 1063.0]
[2016-12-14T14:23:50.405Z, 1060.0]
[2016-12-14T14:23:51.406Z, 1057.0]
[2016-12-14T14:23:52.406Z, 1061.0]
[2016-12-14T14:23:53.4Z, 1062.0]
[2016-12-14T14:23:54.401Z, 1062.0]
[2016-12-14T14:23:55.402Z, 1061.0]
[2016-12-14T14:23:56.414Z, 1063.0]
[2016-12-14T14:23:57.405Z, 1060.0]
[2016-12-14T14:23:58.406Z, 1060.0]
[2016-12-14T14:23:59.407Z, 1057.0]
[2016-12-14T14:24:00.407Z, 1059.0]
[2016-12-14T14:24:01.401Z, 1063.0]
[2016-12-14T14:24:02.405Z, 1060.0]
[2016-12-14T14:24:03.406Z, 1060.0]
[2016-12-14T14:24:04.407Z, 1062.0]
[2016-12-14T14:24:05.401Z, 1060.0]
[2016-12-14T14:24:06.404Z, 1059.0]
[2016-12-14T14:24:07.407Z, 1058.0]
[2016-12-14T14:24:08.408Z, 1054.0]
[2016-12-14T14:24:09.409Z, 1059.0]
[2016-12-14T14:24:10.403Z, 1060.0]
[2016-12-14T14:24:11.407Z, 1057.0]
[2016-12-14T14:24:12.408Z, 1057.0]
[2016-12-14T14:24:13.402Z, 1059.0]
[2016-12-14T14:24:14.403Z, 1062.0]
[2016-12-14T14:24:15.406Z, 1059.0]
[2016-12-14T14:24:16.407Z, 846.0]
[2016-12-14T14:24:17.409Z, 0.0]
[2016-12-14T14:24:18.409Z, 0.0]
[2016-12-14T14:24:19.403Z, 0.0]
[2016-12-14T14:24:20.404Z, 0.0]
[2016-12-14T14:24:21.409Z, 0.0]
[2016-12-14T14:24:22.41Z, 0.0]
[2016-12-14T14:24:23.41Z, 0.0]
[2016-12-14T14:24:24.403Z, 0.0]
[2016-12-14T14:24:25.406Z, 0.0]
[2016-12-14T14:24:26.407Z, 0.0]
[2016-12-14T14:24:27.408Z, 0.0]
[2016-12-14T14:24:28.409Z, 0.0]
[2016-12-14T14:24:29.41Z, 0.0]
[2016-12-14T14:24:30.41Z, 0.0]
[2016-12-14T14:24:31.404Z, 0.0]
[2016-12-14T14:24:32.407Z, 0.0]
[2016-12-14T14:24:33.408Z, 0.0]
[2016-12-14T14:24:34.408Z, 0.0]
[2016-12-14T14:24:35.409Z, 0.0]
[2016-12-14T14:24:36.41Z, 0.0]
[2016-12-14T14:24:37.411Z, 0.0]
[2016-12-14T14:24:38.412Z, 0.0]
[2016-12-14T14:24:39.408Z, 0.0]
[2016-12-14T14:24:40.408Z, 0.0]
[2016-12-14T14:24:41.408Z, 0.0]
[2016-12-14T14:24:42.409Z, 0.0]
[2016-12-14T14:24:43.41Z, 0.0]
[2016-12-14T14:24:44.411Z, 0.0]
[2016-12-14T14:24:45.408Z, 0.0]
[2016-12-14T14:24:46.408Z, 0.0]
[2016-12-14T14:24:47.409Z, 0.0]
[2016-12-14T14:24:48.41Z, 0.0]
[2016-12-14T14:24:49.411Z, 0.0]
[2016-12-14T14:24:50.412Z, 0.0]
[2016-12-14T14:24:51.413Z, 0.0]
[2016-12-14T14:24:52.408Z, 0.0]
[2016-12-14T14:24:53.414Z, 0.0]
[2016-12-14T14:24:54.409Z, 0.0]
[2016-12-14T14:24:55.41Z, 0.0]
[2016-12-14T14:24:56.411Z, 0.0]
[2016-12-14T14:24:57.424Z, 0.0]
[2016-12-14T14:24:58.428Z, 0.0]
[2016-12-14T14:24:59.433Z, 0.0]
[2016-12-14T14:25:00.429Z, 0.0]
[2016-12-14T14:25:01.43Z, 0.0]
[2016-12-14T14:25:02.427Z, 0.0]
[2016-12-14T14:25:03.427Z, 0.0]
[2016-12-14T14:25:04.429Z, 0.0]
[2016-12-14T14:25:05.431Z, 0.0]
[2016-12-14T14:25:06.431Z, 0.0]
[2016-12-14T14:25:07.429Z, 0.0]
[2016-12-14T14:25:08.429Z, 0.0]
[2016-12-14T14:25:09.431Z, 0.0]
[2016-12-14T14:25:10.432Z, 0.0]
[2016-12-14T14:25:11.429Z, 0.0]
[2016-12-14T14:25:12.43Z, 0.0]
[2016-12-14T14:25:13.43Z, 0.0]
[2016-12-14T14:25:14.431Z, 0.0]
[2016-12-14T14:25:15.431Z, 0.0]
[2016-12-14T14:25:16.433Z, 0.0]
[2016-12-14T14:25:17.434Z, 0.0]
[2016-12-14T14:25:18.43Z, 0.0]
[2016-12-14T14:25:19.431Z, 0.0]
[2016-12-14T14:25:20.432Z, 0.0]
[2016-12-14T14:25:21.433Z, 0.0]
[2016-12-14T14:25:22.429Z, 0.0]
[2016-12-14T14:25:23.43Z, 0.0]
[2016-12-14T14:25:24.431Z, 0.0]
[2016-12-14T14:25:25.432Z, 0.0]
[2016-12-14T14:25:26.434Z, 0.0]
[2016-12-14T14:25:27.43Z, 0.0]
[2016-12-14T14:25:28.432Z, 0.0]
[2016-12-14T14:25:29.433Z, 0.0]
[2016-12-14T14:25:30.43Z, 0.0]
[2016-12-14T14:25:31.431Z, 0.0]
[2016-12-14T14:25:32.433Z, 0.0]
[2016-12-14T14:25:33.435Z, 0.0]
[2016-12-14T14:25:34.436Z, 0.0]
[2016-12-14T14:25:35.433Z, 0.0]
[2016-12-14T14:25:36.434Z, 0.0]
[2016-12-14T14:25:37.436Z, 0.0]
[2016-12-14T14:25:38.433Z, 0.0]
[2016-12-14T14:25:39.435Z, 0.0]
[2016-12-14T14:25:40.436Z, 0.0]
[2016-12-14T14:25:41.432Z, 0.0]
[2016-12-14T14:25:42.434Z, 0.0]
[2016-12-14T14:25:43.435Z, 0.0]
[2016-12-14T14:25:44.432Z, 0.0]
[2016-12-14T14:25:45.432Z, 0.0]
[2016-12-14T14:25:46.434Z, 0.0]
[2016-12-14T14:25:47.437Z, 0.0]
[2016-12-14T14:25:48.433Z, 0.0]
[2016-12-14T14:25:49.434Z, 0.0]
[2016-12-14T14:25:50.436Z, 0.0]
[2016-12-14T14:25:51.443Z, 0.0]
[2016-12-14T14:25:52.438Z, 0.0]
[2016-12-14T14:25:53.439Z, 0.0]
[2016-12-14T14:25:54.441Z, 0.0]
[2016-12-14T14:25:55.437Z, 0.0]
[2016-12-14T14:25:56.438Z, 0.0]
[2016-12-14T14:25:57.441Z, 0.0]
[2016-12-14T14:25:58.439Z, 0.0]
[2016-12-14T14:25:59.438Z, 0.0]
[2016-12-14T14:26:00.439Z, 0.0]
[2016-12-14T14:26:01.44Z, 0.0]
[2016-12-14T14:26:02.442Z, 0.0]
[2016-12-14T14:26:03.439Z, 0.0]
[2016-12-14T14:26:04.44Z, 0.0]
[2016-12-14T14:26:05.44Z, 0.0]
[2016-12-14T14:26:06.443Z, 0.0]
[2016-12-14T14:26:07.444Z, 0.0]
[2016-12-14T14:26:08.441Z, 0.0]
[2016-12-14T14:26:09.442Z, 0.0]
[2016-12-14T14:26:10.442Z, 0.0]
[2016-12-14T14:26:11.444Z, 0.0]
[2016-12-14T14:26:12.441Z, 0.0]
[2016-12-14T14:26:13.441Z, 0.0]
[2016-12-14T14:26:14.443Z, 0.0]
[2016-12-14T14:26:15.444Z, 0.0]
[2016-12-14T14:26:16.44Z, 0.0]
[2016-12-14T14:26:17.442Z, 0.0]
[2016-12-14T14:26:18.444Z, 0.0]
[2016-12-14T14:26:19.441Z, 0.0]
[2016-12-14T14:26:20.442Z, 0.0]
[2016-12-14T14:26:21.444Z, 0.0]
[2016-12-14T14:26:22.441Z, 0.0]
[2016-12-14T14:26:23.441Z, 0.0]
[2016-12-14T14:26:24.442Z, 0.0]
[2016-12-14T14:26:25.443Z, 0.0]
