[2017-03-13T15:58:34.595Z, 772.0]
[2017-03-13T15:58:35.596Z, 773.0]
[2017-03-13T15:58:36.596Z, 771.0]
[2017-03-13T15:58:37.596Z, 771.0]
[2017-03-13T15:58:38.596Z, 771.0]
[2017-03-13T15:58:39.596Z, 772.0]
[2017-03-13T15:58:40.596Z, 772.0]
[2017-03-13T15:58:41.596Z, 772.0]
[2017-03-13T15:58:42.596Z, 772.0]
[2017-03-13T15:58:43.596Z, 772.0]
[2017-03-13T15:58:44.596Z, 772.0]
[2017-03-13T15:58:45.596Z, 772.0]
[2017-03-13T15:58:46.595Z, 771.0]
[2017-03-13T15:58:47.595Z, 773.0]
[2017-03-13T15:58:48.595Z, 771.0]
[2017-03-13T15:58:49.595Z, 772.0]
[2017-03-13T15:58:50.595Z, 771.0]
[2017-03-13T15:58:51.595Z, 771.0]
[2017-03-13T15:58:52.595Z, 772.0]
[2017-03-13T15:58:53.595Z, 771.0]
[2017-03-13T15:58:54.595Z, 772.0]
[2017-03-13T15:58:55.596Z, 772.0]
[2017-03-13T15:58:56.596Z, 777.0]
[2017-03-13T15:58:57.596Z, 781.0]
[2017-03-13T15:58:58.597Z, 773.0]
[2017-03-13T15:58:59.597Z, 772.0]
[2017-03-13T15:59:00.598Z, 771.0]
[2017-03-13T15:59:01.598Z, 771.0]
[2017-03-13T15:59:02.594Z, 771.0]
[2017-03-13T15:59:03.594Z, 771.0]
[2017-03-13T15:59:04.593Z, 771.0]
[2017-03-13T15:59:05.595Z, 773.0]
[2017-03-13T15:59:06.596Z, 771.0]
[2017-03-13T15:59:07.596Z, 772.0]
[2017-03-13T15:59:08.597Z, 771.0]
[2017-03-13T15:59:09.596Z, 771.0]
[2017-03-13T15:59:10.596Z, 773.0]
[2017-03-13T15:59:11.596Z, 773.0]
[2017-03-13T15:59:12.596Z, 774.0]
[2017-03-13T15:59:13.596Z, 773.0]
[2017-03-13T16:37:40.968Z, 772.0]
[2017-03-13T16:37:41.885Z, 772.0]
